#;;;;;;;;;;;;;;x;;;;
PBA_absolute_monarchy;Portugal-Brazil;;;;;;;;;;;;;
PBA_prussian_constitutionalism;Portugal-Brazil;;;;;;;;;;;;;
PBA_hms_government;Portugal-Brazil;;;;;;;;;;;;;
PBA_monarchy;Portugal-Brazil;;;;;;;;;;;;;
PBA_democracy;Portugal-Brazil;;;;;;;;;;;;;
PBA_fascist_dictatorship;Portuguese-Brazilian State;;;;;;;;;;;;;
PBA_proletarian_dictatorship;Portuguese-Brazilian SFR;;;;;;;;;;;;;
PBA_republic;Portuguese-Brazilian Federation;;;;;;;;;;;;;
PBA_ADJ;Portuguese-Brazilian;Portuguese-Brazilian;Portuguese-Brazilian;;Portuguese-Brazilian;;;;;;;;;;;;;
FRA_democracy;French Republic;;;;;;;;;;;;;
FRA_fascist_dictatorship;French State;;;;;;;;;;;;;
FRA_proletarian_dictatorship;French SR;;;;;;;;;;;;;
FRA_republic;French Republic;;;;;;;;;;;;;
FRA_ADJ;French;French;French;;French;;;;;;;;;x;;;;
IBR;Iberia;;;;;;;;;;;;;
IBR_democracy;Iberian Republic;;;;;;;;;;;;;
IBR_monarchy;Empire of Iberia;;;;;;;;;;;;;
IBR_fascist_dictatorship;Iberian Union;;;;;;;;;;;;;
IBR_proletarian_dictatorship;Iberian SFR;;;;;;;;;;;;;
IBR_republic;Iberian Republic;;;;;;;;;;;;;
IBR_bourgeois_dictatorship;Carthage;;;;;;;;;;;;;
IBR_ADJ;Iberian;;;;;;;;;;;;;
RUS_monarchy;Russian Empire;;;;;;;;;;;;;
RUS_prussian_constitutionalism;Russian Empire;;;;;;;;;;;;;
RUS_hms_government;Russian Empire;;;;;;;;;;;;;
RUS_fascist_dictatorship;Russian State;;;;;;;;;;;;;
RUS_proletarian_dictatorship;USSR;;;;;;;;;;;;;
RUS_republic;Russian Republic;;;;;;;;;;;;;
RUS_democracy;Russian Republic;;;;;;;;;;;;;
TUR_bourgeois_dictatorship;UwUman Empire;;;;;;;;;;;;;
JAP_prussian_constitutionalism;Empire of Japan;;;;;;;;;;;;;
JAP_hms_government;Empire of Japan;;;;;;;;;;;;;
JAP_fascist_dictatorship;State of Japan;;;;;;;;;;;;;
JAP_proletarian_dictatorship;Japanese SR;;;;;;;;;;;;;
JAP_republic;Land of the Rising Salmon;;;;;;;;;;;;;
JAP_democracy;Land of the Rising Salmon;;;;;;;;;;;;;
WAK_democracy;Republic of Wakanda;;;;;;;;;;;;;
WAK_republic;Republic of Wakanda;;;;;;;;;;;;;
WAK_proletarian_dictatorship;Wakandan SR;;;;;;;;;;;;;
WAK_monarchy;Kingdom of Wakanda;;;;;;;;;;;;;
WAK_prussian_constitutionalism;Kingdom of Wakanda;;;;;;;;;;;;;
WAK_hms_government;Kingdom of Wakanda;;;;;;;;;;;;;
WAK_fascist_dictatorship;State of Wakanda;;;;;;;;;;;;;
WAK_ADJ;Wakandan;;;;;;;;;;;;;
#;;;;;;;;;;;;;;x;;;;
PROV473;Corse;Corse;Corse;;Corse;;;;;;;;;x;;;;
